Pubmed Id,Dataset Alias,Dataset Grant Number,Dataset Name,Dataset Description,Dataset Design,Dataset Assay,Dataset Species,Dataset Tumor Type,Dataset Tissue,Dataset Url,Dataset File Formats,Component,PublicationView_id
37069550,GSE221595,CA225088,,,,,,,,,,DatasetView,37069550
37167403,GSE207943,"CA209975, CA274492",,,,,,,,,,DatasetView,37167403
37169829,"GSE218629, GSE227432, PRJNA945412",CA274502,,,,,,,,,,DatasetView,37169829
37386030,"GSE143944, GSE193278","CA264620, CA209978",,,,,,,,,,DatasetView,37386030
37336883,"EMD-27630,  EMD-27684, PXD035574",CA209891,,,,,,,,,,DatasetView,37336883
37071497,EGAS00001006831,CA217450,,,,,,,,,,DatasetView,37071497
37169593,PXD032403,"CA210180, CA238720",,,,,,,,,,DatasetView,37169593
37301933,syn51239112,CA209988,,,,,,,,,,DatasetView,37301933
36907523,GSE202534,CA224013,,,,,,,,,,DatasetView,36907523
37380658,GSE194369,CA224012,,,,,,,,,,DatasetView,37380658
37164011,"GSE175540, GSE72056, GSE144240",CA264583,,,,,,,,,,DatasetView,37164011
37414767,syn21577710,CA209988,,,,,,,,,,DatasetView,37414767
34802033,"GSE173469, GSE173466, GSE173467",CA224044,,,,,,,,,,DatasetView,34802033
37344645,"GSE111999, GSE112722, GSE112219",CA217378,,,,,,,,,,DatasetView,37344645
37127830,GSE202157,"CA209975, CA274492",,,,,,,,,,DatasetView,37127830
35865140,syn7248578,CA250044,,,,,,,,,,DatasetView,35865140
37478854,PRJNA980687,CA217378,,,,,,,,,,DatasetView,37478854
36476730,"GSE106273, GSE161529, GSE184095",CA193461,,,,,,,,,,DatasetView,36476730
37085539,"GSE64415, GSE50161, GSE50385, GSE21687, GSE3526",CA184898,,,,,,,,,,DatasetView,37085539
34711268,GSE184717,CA209978,,,,,,,,,,DatasetView,34711268
37156909,"GSE186647, PXD029560",CA199315,,,,,,,,,,DatasetView,37156909
36922587,"GSE205054, GSE205181, GSE205180, GSE205051, GSE205052, GSE205055, GSE217091",CA274509,,,,,,,,,,DatasetView,36922587
37353482,"MZ701715, MZ701716",CA214354,,,,,,,,,,DatasetView,37353482
36239989,phs001818.v3.p1,CA261717,,,,,,,,,,DatasetView,36239989
37106167,EGAS00001006644,CA274509,,,,,,,,,,DatasetView,37106167
36788793,GSE166766,CA209992,,,,,,,,,,DatasetView,36788793
37117218,PRJNA956930,"CA268069, CA210190",,,,,,,,,,DatasetView,37117218
36596361,PRJNA902794,CA274502,,,,,,,,,,DatasetView,36596361
37270599,GSE223285,CA217450,,,,,,,,,,DatasetView,37270599
37142594,"GSE6495, GSE516682",CA264610,,,,,,,,,,DatasetView,37142594
37407670,"GSE18655, GSE691955, GSE134051, GSE54691, GSE210945, GSE11961650, GSE1420689, GSE2513652",CA231978,,,,,,,,,,DatasetView,37407670
37474509,"GSE158803, GSE96583",CA228963,,,,,,,,,,DatasetView,37474509
37444440,GSE223545,CA238728,,,,,,,,,,DatasetView,37444440
37542044,"GSE131102, GSE157220, GSE123837, GSE162798, GSE154927, GSE150949, GSE118390, GSE221183.","CA209988, CA253472",,,,,,,,,,DatasetView,37542044
37220749,"PXD028064, PXD037494","CA274502, CA209891",,,,,,,,,,DatasetView,37220749
37541244,"GSE202864, GSE202863, GSE202859, GSE202857, GSE227999",CA235747,,,,,,,,,,DatasetView,37541244
35858567,PXD030050,CA243004,,,,,,,,,,DatasetView,35858567
37059105,syn30715952,CA225088,,,,,,,,,,DatasetView,37059105
37146605,GSE194040,"CA274502, CA209891",,,,,,,,,,DatasetView,37146605
