File Paths,folderIdPublication
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274499_publication.csv,syn43447156
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA267170_publication.csv,syn43447074
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA217297_publication.csv,syn32698273
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA224013_publication.csv,syn35270551
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274502_publication.csv,syn43447174
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA209975_publication.csv,syn32698159
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA217376_publication.csv,syn32698091
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA217378_publication.csv,syn32698086
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA253540_publication.csv,syn32698462
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA224012_publication.csv,syn35270567
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA214354_publication.csv,syn32698033
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA227136_publication.csv,syn32698386
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA250040_publication.csv,syn32698315
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA209992_publication.csv,syn32698178
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA249799_publication.csv,syn35270472
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA228608_publication.csv,syn35270588
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA253547_publication.csv,syn32698467
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA232137_publication.csv,syn32698071
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA261842_publication.csv,syn32698479
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA210180_publication.csv,syn32698217
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA227550_publication.csv,syn32698064
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274492_publication.csv,syn43447140
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA245313_publication.csv,syn32698418
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274506_publication.csv,syn32698150
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA253553_publication.csv,syn32698451
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274509_publication.csv,syn43447186
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA256481_publication.csv,syn35270487
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA225088_publication.csv,syn32698012
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA274507_publication.csv,syn53212937
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA220378_publication.csv,syn32698058
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA214411_publication.csv,syn32698362
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA225566_publication.csv,syn32698345
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA250481_publication.csv,syn32698521
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA209988_publication.csv,syn32698270
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA244100_publication.csv,syn32698334
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA282451_publication.csv,syn53212972
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA228963_publication.csv,syn32698472
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA210190_publication.csv,syn32698191
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA209891_publication.csv,syn32698008
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA283114_publication.csv,syn53212977
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA238720_publication.csv,syn32698104
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA232216_publication.csv,syn32698110
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA268069_publication.csv,syn35270515
/Users/anath/Documents/code/mc2-center-dcc/annotations/output/output_nov/CA210181_publication.csv,syn32698212
